dataset,n_instances,n_features,instances_per_feature,mean_of_means,mean_of_stds,mean_skewness,mean_kurtosis,y_skewness,y_kurtosis,y_coef_variacao,pct_relevante
a1,198,11,18.0,6729.079470862071,16904.281937710024,3.2205578394923746,27.74589348936095,1.462609188472153,1.317962499467881,1.25717610420228,0.1414141414141414
a2,198,11,18.0,6729.079470862071,16904.281937710024,3.2205578394923746,27.74589348936095,2.4110264797652374,7.588307757083339,1.4774347291409244,0.1111111111111111
a3,198,11,18.0,6729.079470862071,16904.281937710024,3.2205578394923746,27.74589348936095,2.467186098296385,6.916414370755302,1.6055827822470776,0.16161616161616163
a7,198,11,18.0,6729.079470862071,16904.281937710024,3.2205578394923746,27.74589348936095,3.724437350714318,15.367399791506486,2.0778682459990567,0.13636363636363635
abalone,4177,8,522.125,155.85781371199425,199.87568013690097,0.8042873383544027,-0.2755533389208096,1.1137017739656028,2.3264623620128333,0.3245304476884101,0.16255685898970554
acceleration,1732,14,123.71428571428571,1919.0079032497524,1428.8732379259086,2.765833118210602,27.318576474621473,0.7694433749374249,2.259773959811996,0.29025434211511497,0.05138568129330254
airfoild,1503,5,300.6,588.8342615090123,634.8341480827164,1.0433020885171653,0.9752894780581046,-2.754450731586357,5.961731833743256,0.3139247874055976,0.10711909514304724
analcatdata_apnea3,450,11,40.90909090909091,1.0454545454545454,0.8362139590215721,1.3636363636363633,0.11750633267661087,4.99917119201903,25.62101761610387,3.8037688434242236,0.2288888888888889
available_power,1802,15,120.13333333333334,197.16756781354044,166.41968525138827,4.185524959783331,148.82574766719796,1.903627135371377,5.100073953374585,0.49568110683118205,0.08712541620421754
boston,506,13,38.92307692307692,22690.141717847375,14127.951869781642,0.6907923072530473,4.132069779958174,1.104810822864635,1.4686287722747462,0.40776152837415536,0.17984189723320157
california,20640,8,2580.0,630.9062292242006,517.0349869467369,2.2275695072596977,18.978799612855703,0.9776922140978417,0.3275001388119625,0.5578417959352513,0.08822674418604651
cocomo_numeric,60,56,1.0714285714285714,1.599791666666667,2.0882481924578444,2.113816539033246,8.930898778151159,2.6140842135628812,6.6306366295796515,1.6029689458583893,0.16666666666666666
compactiv,8192,21,390.0952380952381,77423.0389258975,38448.585308642025,5.397368407174783,82.64278406295499,-3.4161239456823633,12.716688023401346,0.21913812647422753,0.0870361328125
concreteStrength,1030,8,128.75,298.6481917475728,62.90132700541056,0.7246091512070609,1.3181772424287312,0.41636979411469355,-0.31802358543657805,0.4661803705741896,0.05339805825242718
cpu_small,8192,12,682.6666666666666,135460.4337241618,67245.7483771679,5.073375444275121,77.02153968691705,-3.4161239456823633,12.716688023401346,0.21913812647422753,0.0870361328125
debutanizer,2394,7,342.0,0.5506256697792099,0.13758156731924134,-0.9814182352041246,8.644964577875573,1.7088150797830493,4.473499712963722,0.5934179334090905,0.10025062656641603
forestFires,517,12,43.083333333333336,70.53328497743392,29.52471376982696,1.27540333386021,42.079767872034765,12.809629951754573,192.25664556902518,4.950010137399911,0.1528046421663443
fuel_consumption_country,1764,37,47.67567567567568,1797.5746652264513,832.8395040645553,4.107224916486985,192.9308830338855,1.137844309871128,2.888982846515116,0.2542104440129429,0.09297052154195011
heat,7400,11,672.7272727272727,580.5256621621621,414.80722129005176,0.23720497534462814,1.3789391459142861,1.633992887342422,3.639424990333697,0.8162153794059909,0.08972972972972973
kdd_coil_1,316,18,17.555555555555557,23.044994422840908,23.69763183034865,1.0988589766304169,1.6624077598132159,1.4487776523550522,1.275046468523823,1.2317680042347945,0.10759493670886076
lungcancer_shedden,442,24,18.416666666666668,9.163040873360616,0.8839399594613536,0.6305019473318881,2.1336847598918793,0.9426888479967886,0.9169229246241839,0.6882349199299647,0.05656108597285068
maximal_torque,1802,32,56.3125,1789.9417931118203,1269.7778304518042,1.3378098752704373,131.82317140316025,1.6337513154957313,4.53445290252104,0.4548548390605223,0.07158712541620421
meta,528,65,8.123076923076923,237.41527214552116,307.9861649351392,3.6113635358841907,13.957515335602274,14.652055060367804,223.83678576900394,7.673254444925532,0.20454545454545456
mortgage,1049,15,69.93333333333334,508.96216275818244,181.95857173336557,0.644023115155792,-0.07995089019243738,1.0282292229189027,0.5030173528048545,0.41149688199427525,0.10104861773117255
pdgfr,79,320,0.246875,0.3834129486946202,0.2028813915195724,0.8241302692013698,5.910957148920897,-0.6388139887915605,-0.1046311242687814,0.39929320716940886,0.12658227848101267
sensory,576,11,52.36363636363637,2.1363636363636362,0.8928621401297118,0.0,-1.60987012987013,-0.04038412601221919,0.05470823542821002,0.054535340096201826,0.11979166666666667
space_ga,3107,6,517.8333333333334,-8892952.687895069,2719032.9296098673,0.20112180214995104,0.4465194179311758,-1.019754736524321,8.410371675002798,-0.343652009170414,0.05568072095268748
treasury,1049,15,69.93333333333334,508.9636289164284,181.94047648551788,0.6238996628102924,-0.1625919605179379,1.330081008101396,1.7426334076873653,0.448767709675246,0.10390848427073403
triazines,186,60,3.1,0.20417562724014335,0.1798473776310952,3.246936895406269,18.16145243024186,-1.3422024536748667,2.0090539863526464,0.2413025126351777,0.10752688172043011
wine_quality,6497,11,590.6363636363636,15.898094169756671,7.470525748502539,1.3631093539368238,8.008491635444296,0.18957891127582208,0.23122015487436176,0.15007414567217434,0.2344158842542712
